User_ID,Social_Media_Usage,Video_Usage,Messaging_Usage,Data_Consumption,Age,Region,Cluster
1,28.946912787622196,125.87884133916721,16.316202033962057,2.2898604863358654,41,West,2
2,25.451334055279535,109.83712945305135,34.535844502310624,2.6998808720536758,40,South,1
3,47.445340582939515,122.8626128805702,11.33462662422815,2.5340281102925153,36,East,2
4,29.915419951076665,89.06262050889912,30.21447102517031,1.623026194850616,30,South,4
5,55.519610905445724,128.41428319359022,33.825137027352746,1.269645885282207,28,East,4
6,56.80112320946643,95.29257610297677,34.4576990103361,2.656505501093962,58,East,3
7,26.340443359091903,75.10204362251486,35.64094621051121,2.098535647913817,38,North,4
8,41.42755767599641,102.01560085041095,16.335967181458336,2.2961473565890445,36,North,2
9,51.25934111795753,80.20638392440196,26.824179317423987,2.2972901023519667,43,North,0
10,30.73000557371132,97.56685254932937,19.49656049748728,1.294556026634071,47,North,0
11,43.63598276330561,99.13923100535283,31.49735334571819,1.6647287202648802,31,South,4
12,62.27218405088489,80.7070102832297,4.816881881312703,1.2938565414692302,56,East,0
13,37.12070194859825,99.70968054326725,23.91535221181132,1.3709073406587517,48,East,0
14,57.30309870574391,96.88114398180754,24.13330508271988,2.878210204638817,27,South,2
15,80.35306998571622,105.28177156175474,22.81646425825668,2.2100381930716755,40,South,2
16,53.971385461418464,118.67160502549432,37.54455692632136,1.9644372779364796,58,South,1
17,61.40139696604845,99.03755152008581,23.196879616846925,1.7605059567271688,54,East,0
18,18.650368937142666,102.26326040842264,30.205316603594788,2.1162295207868156,20,North,4
19,18.787962482297218,112.2457257454159,43.73428234705264,1.9675457208903662,29,West,4
20,52.83581959821218,84.43162121921536,42.365242302540864,2.3511471847546552,55,West,3
21,59.99661165988782,96.80822697568429,36.34714092106996,2.089355548849017,22,South,3
22,68.73799258120485,95.12501487606069,33.72068884038603,3.3088183832384965,48,West,3
23,40.967450990936264,115.76170168904696,35.59300382392384,2.3074016945511158,20,East,4
24,63.95797833832041,99.86269457760132,34.30201556034584,1.3485894893602022,22,East,4
25,51.287795996494566,121.09381052206189,23.21016817486896,2.822414795556255,32,East,2
26,24.52539753964795,104.03621586810715,42.97729280365335,2.848602804177286,48,East,1
27,32.83307130703029,85.27705801593402,21.674412661567175,1.5570984536734018,37,North,0
28,38.61001307437539,112.2490909905786,34.96250817168178,2.7529461959775228,30,East,3
29,46.36113924324512,104.27818936356805,33.60579290251048,2.563940402597268,30,South,3
